time,close,ema
2026-01-01T00:00:00Z,100,100
2026-01-02T00:00:00Z,101.5,100.5
2026-01-03T00:00:00Z,102.25,101.08333333333334
2026-01-04T00:00:00Z,101.8,101.32222222222222
2026-01-05T00:00:00Z,103.4,102.01481481481483
2026-01-06T00:00:00Z,104.1,102.7098765432099
2026-01-07T00:00:00Z,103.75,103.05658436213994
2026-01-08T00:00:00Z,105.2,103.77105624142663
2026-01-09T00:00:00Z,106,104.51403749428442
2026-01-10T00:00:00Z,105.5,104.84269166285628
2026-01-11T00:00:00Z,107.3,105.66179444190419
2026-01-12T00:00:00Z,108.1,106.47452962793614
2026-01-13T00:00:00Z,107.85,106.93301975195743
2026-01-14T00:00:00Z,109.4,107.75534650130497
2026-01-15T00:00:00Z,110.2,108.57023100087
2026-01-16T00:00:00Z,109.8,108.98015400058
2026-01-17T00:00:00Z,111.1,109.68676933372001
2026-01-18T00:00:00Z,112.5,110.62451288914669
2026-01-19T00:00:00Z,111.95,111.06634192609779
2026-01-20T00:00:00Z,113.4,111.84422795073186
