time,close
2026-01-01T00:00:00Z,100.00
2026-01-02T00:00:00Z,101.50
2026-01-03T00:00:00Z,102.25
2026-01-04T00:00:00Z,101.80
2026-01-05T00:00:00Z,103.40
2026-01-06T00:00:00Z,104.10
2026-01-07T00:00:00Z,103.75
2026-01-08T00:00:00Z,105.20
2026-01-09T00:00:00Z,106.00
2026-01-10T00:00:00Z,105.50
2026-01-11T00:00:00Z,107.30
2026-01-12T00:00:00Z,108.10
2026-01-13T00:00:00Z,107.85
2026-01-14T00:00:00Z,109.40
2026-01-15T00:00:00Z,110.20
2026-01-16T00:00:00Z,109.80
2026-01-17T00:00:00Z,111.10
2026-01-18T00:00:00Z,112.50
2026-01-19T00:00:00Z,111.95
2026-01-20T00:00:00Z,113.40
